Round, Fold,label1 ,label2 ,label3 ,label4 ,label5 
01, 1,366,0,1,3,1
01, 1,2,47,0,0,0
01, 1,1,0,4,0,0
01, 1,3,0,0,0,0
01, 1,1,1,0,0,27
01, 2,365,4,0,0,2
01, 2,3,44,1,0,0
01, 2,0,2,3,0,0
01, 2,3,0,0,0,1
01, 2,3,0,0,0,26
01, 3,361,6,0,1,3
01, 3,2,45,1,0,0
01, 3,0,0,5,0,0
01, 3,3,0,0,1,0
01, 3,3,0,0,0,26
01, 4,367,2,0,2,0
01, 4,4,44,0,0,0
01, 4,0,0,5,0,0
01, 4,4,0,0,0,0
01, 4,2,0,0,0,27
01, 5,363,3,0,0,5
01, 5,4,43,1,0,0
01, 5,0,1,4,0,0
01, 5,1,1,0,2,0
01, 5,3,0,0,1,25
01, 6,363,3,0,1,4
01, 6,1,46,1,0,0
01, 6,1,0,4,0,0
01, 6,2,0,0,2,0
01, 6,3,0,0,0,26
01, 7,364,1,0,2,3
01, 7,1,48,0,0,0
01, 7,3,0,2,0,0
01, 7,1,0,0,2,0
01, 7,1,0,0,0,29
01, 8,362,6,0,1,1
01, 8,4,45,0,0,0
01, 8,0,1,4,0,0
01, 8,2,0,0,1,0
01, 8,1,0,0,0,29
01, 9,361,5,0,3,1
01, 9,3,45,1,0,0
01, 9,1,0,4,0,0
01, 9,2,0,1,0,0
01, 9,0,0,0,0,30
01, 10,365,4,0,0,1
01, 10,7,42,0,0,0
01, 10,1,0,4,0,0
01, 10,2,0,0,1,0
01, 10,1,0,0,0,29
02, 1,358,4,0,5,4
02, 1,1,47,1,0,0
02, 1,0,0,5,0,0
02, 1,2,0,0,1,0
02, 1,5,0,0,0,24
02, 2,365,2,1,1,2
02, 2,4,44,0,0,0
02, 2,0,0,5,0,0
02, 2,2,0,0,2,0
02, 2,2,0,0,0,27
02, 3,368,2,0,0,1
02, 3,3,45,0,0,0
02, 3,1,0,3,1,0
02, 3,3,0,0,1,0
02, 3,4,0,0,0,25
02, 4,370,1,0,0,0
02, 4,4,43,0,0,1
02, 4,1,0,4,0,0
02, 4,3,0,1,0,0
02, 4,2,0,0,0,27
02, 5,361,3,0,1,6
02, 5,1,47,0,0,0
02, 5,1,0,4,0,0
02, 5,3,0,0,1,0
02, 5,2,0,0,0,27
02, 6,364,5,0,1,1
02, 6,5,42,1,0,0
02, 6,1,0,4,0,0
02, 6,1,0,0,3,0
02, 6,2,0,0,0,27
02, 7,357,6,1,4,2
02, 7,2,47,0,0,0
02, 7,0,2,3,0,0
02, 7,2,0,0,1,0
02, 7,0,0,0,0,30
02, 8,357,9,0,1,3
02, 8,0,49,0,0,0
02, 8,0,0,5,0,0
02, 8,2,0,0,1,0
02, 8,3,0,0,0,27
02, 9,360,3,1,4,2
02, 9,3,45,1,0,0
02, 9,0,1,4,0,0
02, 9,2,0,0,1,0
02, 9,5,0,0,0,25
02, 10,365,3,0,1,1
02, 10,1,48,0,0,0
02, 10,0,0,5,0,0
02, 10,1,1,0,0,1
02, 10,4,0,0,0,26
03, 1,363,5,0,2,1
03, 1,4,44,1,0,0
03, 1,0,0,5,0,0
03, 1,1,0,1,1,0
03, 1,4,0,0,0,25
03, 2,360,2,0,2,7
03, 2,4,43,1,0,0
03, 2,0,1,4,0,0
03, 2,4,0,0,0,0
03, 2,0,0,0,0,29
03, 3,360,2,0,4,5
03, 3,5,43,0,0,0
03, 3,0,1,4,0,0
03, 3,2,0,0,2,0
03, 3,0,0,0,0,29
03, 4,367,3,0,0,1
03, 4,2,46,0,0,0
03, 4,1,0,4,0,0
03, 4,3,0,0,1,0
03, 4,10,0,0,0,19
03, 5,364,4,0,2,1
03, 5,6,42,0,0,0
03, 5,1,0,4,0,0
03, 5,3,0,0,1,0
03, 5,6,0,0,0,23
03, 6,365,4,1,1,0
03, 6,3,45,0,0,0
03, 6,0,0,5,0,0
03, 6,1,0,0,3,0
03, 6,3,0,0,0,26
03, 7,366,3,0,1,0
03, 7,6,43,0,0,0
03, 7,0,0,5,0,0
03, 7,2,0,0,1,0
03, 7,4,0,0,0,26
03, 8,359,3,0,2,6
03, 8,2,46,1,0,0
03, 8,0,0,5,0,0
03, 8,2,0,0,1,0
03, 8,2,0,0,0,28
03, 9,361,4,0,2,3
03, 9,2,47,0,0,0
03, 9,0,0,5,0,0
03, 9,3,0,0,0,0
03, 9,3,0,0,0,27
03, 10,366,2,0,1,1
03, 10,2,46,1,0,0
03, 10,1,1,3,0,0
03, 10,2,0,0,0,1
03, 10,1,0,0,0,29
04, 1,365,3,0,2,1
04, 1,2,47,0,0,0
04, 1,0,0,5,0,0
04, 1,3,0,0,0,0
04, 1,4,0,0,0,25
04, 2,360,8,0,2,1
04, 2,3,45,0,0,0
04, 2,1,1,3,0,0
04, 2,2,0,0,2,0
04, 2,0,0,0,0,29
04, 3,361,4,0,3,3
04, 3,1,47,0,0,0
04, 3,0,1,4,0,0
04, 3,0,0,0,4,0
04, 3,1,0,0,1,27
04, 4,364,2,0,2,3
04, 4,2,46,0,0,0
04, 4,1,0,4,0,0
04, 4,4,0,0,0,0
04, 4,4,0,0,0,25
04, 5,367,1,0,1,2
04, 5,3,44,1,0,0
04, 5,1,0,4,0,0
04, 5,3,0,0,1,0
04, 5,0,0,0,0,29
04, 6,367,2,0,2,0
04, 6,2,45,1,0,0
04, 6,1,0,4,0,0
04, 6,3,0,0,1,0
04, 6,4,0,0,0,25
04, 7,365,1,0,1,3
04, 7,0,48,1,0,0
04, 7,0,0,5,0,0
04, 7,2,0,0,1,0
04, 7,3,0,0,0,27
04, 8,360,7,0,1,2
04, 8,4,45,0,0,0
04, 8,1,1,3,0,0
04, 8,3,0,0,0,0
04, 8,3,0,0,0,27
04, 9,362,3,0,2,3
04, 9,6,43,0,0,0
04, 9,1,0,4,0,0
04, 9,2,0,1,0,0
04, 9,3,0,0,0,27
04, 10,366,2,1,0,1
04, 10,0,46,3,0,0
04, 10,1,1,3,0,0
04, 10,1,0,0,2,0
04, 10,0,0,0,0,30
05, 1,362,4,0,3,2
05, 1,6,42,1,0,0
05, 1,0,1,4,0,0
05, 1,1,0,0,1,1
05, 1,4,0,0,0,25
05, 2,364,2,0,1,4
05, 2,1,46,1,0,0
05, 2,1,0,4,0,0
05, 2,3,0,0,1,0
05, 2,3,0,0,0,26
05, 3,365,4,0,1,1
05, 3,0,47,1,0,0
05, 3,0,0,5,0,0
05, 3,2,0,0,2,0
05, 3,3,0,0,0,26
05, 4,359,6,0,3,3
05, 4,2,46,0,0,0
05, 4,1,0,4,0,0
05, 4,2,0,0,2,0
05, 4,1,0,0,0,28
05, 5,363,0,1,3,4
05, 5,2,45,1,0,0
05, 5,1,0,4,0,0
05, 5,2,0,0,2,0
05, 5,5,0,0,0,24
05, 6,363,2,0,4,2
05, 6,5,43,0,0,0
05, 6,0,0,5,0,0
05, 6,3,0,0,1,0
05, 6,1,0,0,0,28
05, 7,366,3,0,1,0
05, 7,7,42,0,0,0
05, 7,2,0,3,0,0
05, 7,1,0,1,1,0
05, 7,4,0,0,0,26
05, 8,362,5,0,0,3
05, 8,2,47,0,0,0
05, 8,1,0,4,0,0
05, 8,1,0,0,2,0
05, 8,2,0,0,0,28
05, 9,362,5,0,0,3
05, 9,6,43,0,0,0
05, 9,1,0,3,1,0
05, 9,3,0,0,0,0
05, 9,3,0,0,0,27
05, 10,362,2,0,2,4
05, 10,4,44,1,0,0
05, 10,0,0,5,0,0
05, 10,1,0,0,2,0
05, 10,1,0,0,0,29
06, 1,362,3,0,4,2
06, 1,4,45,0,0,0
06, 1,0,2,3,0,0
06, 1,2,0,0,1,0
06, 1,3,0,0,0,26
06, 2,364,3,0,1,3
06, 2,2,45,1,0,0
06, 2,0,0,4,1,0
06, 2,2,0,0,2,0
06, 2,2,0,0,0,27
06, 3,362,2,1,2,4
06, 3,6,41,1,0,0
06, 3,1,1,3,0,0
06, 3,3,0,1,0,0
06, 3,1,0,0,0,28
06, 4,366,3,0,1,1
06, 4,4,44,0,0,0
06, 4,1,0,4,0,0
06, 4,3,0,0,1,0
06, 4,2,0,0,0,27
06, 5,364,4,0,2,1
06, 5,5,43,0,0,0
06, 5,0,1,4,0,0
06, 5,2,0,0,2,0
06, 5,1,0,0,0,28
06, 6,366,0,0,3,2
06, 6,4,44,0,0,0
06, 6,0,0,5,0,0
06, 6,3,0,0,1,0
06, 6,4,0,0,0,25
06, 7,363,1,2,0,4
06, 7,4,44,1,0,0
06, 7,0,0,4,1,0
06, 7,3,0,0,0,0
06, 7,2,0,0,0,28
06, 8,365,3,0,2,0
06, 8,3,44,1,0,1
06, 8,0,0,5,0,0
06, 8,2,0,0,1,0
06, 8,2,0,0,0,28
06, 9,361,7,0,1,1
06, 9,0,49,0,0,0
06, 9,1,0,4,0,0
06, 9,1,0,0,2,0
06, 9,5,0,0,0,25
06, 10,360,2,0,5,3
06, 10,5,44,0,0,0
06, 10,0,0,5,0,0
06, 10,1,0,0,2,0
06, 10,2,0,0,0,28
07, 1,362,8,0,0,1
07, 1,2,47,0,0,0
07, 1,0,1,4,0,0
07, 1,1,0,0,2,0
07, 1,3,0,0,0,26
07, 2,366,3,0,2,0
07, 2,4,43,1,0,0
07, 2,1,1,3,0,0
07, 2,4,0,0,0,0
07, 2,3,0,0,0,26
07, 3,363,4,0,1,3
07, 3,1,47,0,0,0
07, 3,1,1,3,0,0
07, 3,0,1,0,3,0
07, 3,2,0,0,0,27
07, 4,362,5,0,1,3
07, 4,4,43,0,0,1
07, 4,0,1,4,0,0
07, 4,2,0,0,1,1
07, 4,2,0,0,0,27
07, 5,366,3,0,1,1
07, 5,1,47,0,0,0
07, 5,0,0,5,0,0
07, 5,2,0,0,2,0
07, 5,3,0,0,0,26
07, 6,364,2,0,2,3
07, 6,3,44,1,0,0
07, 6,1,0,4,0,0
07, 6,3,0,0,1,0
07, 6,3,0,0,0,26
07, 7,368,1,0,1,0
07, 7,4,45,0,0,0
07, 7,1,0,4,0,0
07, 7,1,0,0,2,0
07, 7,1,0,0,0,29
07, 8,363,1,0,2,4
07, 8,2,46,1,0,0
07, 8,1,0,4,0,0
07, 8,2,0,0,1,0
07, 8,3,0,0,0,27
07, 9,365,4,0,0,1
07, 9,3,45,0,0,1
07, 9,2,1,2,0,0
07, 9,0,0,1,2,0
07, 9,3,0,0,0,27
07, 10,357,5,1,4,3
07, 10,2,46,1,0,0
07, 10,0,0,5,0,0
07, 10,2,0,0,1,0
07, 10,2,0,0,0,28
08, 1,362,4,0,4,1
08, 1,0,49,0,0,0
08, 1,0,1,4,0,0
08, 1,0,0,0,2,1
08, 1,3,0,0,0,26
08, 2,359,4,0,2,6
08, 2,3,44,1,0,0
08, 2,1,0,4,0,0
08, 2,3,0,0,1,0
08, 2,3,0,0,1,25
08, 3,363,4,0,1,3
08, 3,1,46,1,0,0
08, 3,1,0,4,0,0
08, 3,2,1,0,1,0
08, 3,2,1,0,0,26
08, 4,365,3,0,1,2
08, 4,5,41,0,0,2
08, 4,0,1,4,0,0
08, 4,2,0,0,2,0
08, 4,4,0,1,0,24
08, 5,361,4,0,5,1
08, 5,2,46,0,0,0
08, 5,0,0,5,0,0
08, 5,3,0,0,1,0
08, 5,5,0,0,0,24
08, 6,367,2,0,2,0
08, 6,5,43,0,0,0
08, 6,1,0,4,0,0
08, 6,1,0,1,2,0
08, 6,1,0,0,0,28
08, 7,359,5,1,3,2
08, 7,3,46,0,0,0
08, 7,0,0,5,0,0
08, 7,2,0,0,1,0
08, 7,5,0,0,0,25
08, 8,364,3,0,2,1
08, 8,4,44,1,0,0
08, 8,1,1,3,0,0
08, 8,2,0,0,1,0
08, 8,1,0,0,0,29
08, 9,365,2,0,2,1
08, 9,2,47,0,0,0
08, 9,1,0,4,0,0
08, 9,2,0,0,1,0
08, 9,2,0,0,0,28
08, 10,369,1,0,0,0
08, 10,2,47,0,0,0
08, 10,1,1,3,0,0
08, 10,3,0,0,0,0
08, 10,7,1,0,1,21
09, 1,361,3,0,3,4
09, 1,2,47,0,0,0
09, 1,0,1,4,0,0
09, 1,1,0,0,2,0
09, 1,2,0,0,0,27
09, 2,365,2,0,2,2
09, 2,5,43,0,0,0
09, 2,0,0,5,0,0
09, 2,2,0,0,2,0
09, 2,2,0,0,0,27
09, 3,365,1,0,3,2
09, 3,2,45,1,0,0
09, 3,1,1,3,0,0
09, 3,2,0,0,1,1
09, 3,2,0,0,0,27
09, 4,359,4,0,3,5
09, 4,1,47,0,0,0
09, 4,0,1,4,0,0
09, 4,2,1,0,1,0
09, 4,3,0,0,0,26
09, 5,368,3,0,0,0
09, 5,6,41,1,0,0
09, 5,0,0,5,0,0
09, 5,3,0,0,1,0
09, 5,2,0,0,0,27
09, 6,362,5,0,2,2
09, 6,2,45,0,0,1
09, 6,0,0,4,1,0
09, 6,3,0,0,1,0
09, 6,1,0,0,0,28
09, 7,364,3,0,0,3
09, 7,5,44,0,0,0
09, 7,1,0,4,0,0
09, 7,2,0,0,1,0
09, 7,1,0,0,0,29
09, 8,359,5,0,2,4
09, 8,1,48,0,0,0
09, 8,1,0,4,0,0
09, 8,3,0,0,0,0
09, 8,3,0,0,1,26
09, 9,365,4,1,0,0
09, 9,2,47,0,0,0
09, 9,2,0,3,0,0
09, 9,1,0,1,1,0
09, 9,1,0,0,0,29
09, 10,362,4,0,1,3
09, 10,1,47,1,0,0
09, 10,1,0,4,0,0
09, 10,2,0,0,1,0
09, 10,1,0,0,0,29
10, 1,361,3,1,4,2
10, 1,6,43,0,0,0
10, 1,0,0,5,0,0
10, 1,1,0,0,2,0
10, 1,0,0,0,0,29
10, 2,364,1,0,1,5
10, 2,2,46,0,0,0
10, 2,0,0,5,0,0
10, 2,3,0,0,1,0
10, 2,4,0,0,0,25
10, 3,363,6,1,1,0
10, 3,5,43,0,0,0
10, 3,1,2,2,0,0
10, 3,3,0,0,1,0
10, 3,4,0,0,0,25
10, 4,369,1,0,0,1
10, 4,4,44,0,0,0
10, 4,1,0,3,1,0
10, 4,3,0,0,1,0
10, 4,3,0,0,0,26
10, 5,368,1,0,1,1
10, 5,2,45,1,0,0
10, 5,1,0,4,0,0
10, 5,2,0,0,2,0
10, 5,2,0,0,0,27
10, 6,358,5,0,6,2
10, 6,2,45,1,0,0
10, 6,0,1,4,0,0
10, 6,4,0,0,0,0
10, 6,3,0,0,1,25
10, 7,364,3,0,1,2
10, 7,5,42,2,0,0
10, 7,0,0,5,0,0
10, 7,2,0,0,1,0
10, 7,2,0,0,0,28
10, 8,364,1,0,3,2
10, 8,2,46,1,0,0
10, 8,1,0,4,0,0
10, 8,1,0,1,1,0
10, 8,3,0,0,0,27
10, 9,364,4,0,2,0
10, 9,3,46,0,0,0
10, 9,0,0,5,0,0
10, 9,2,0,0,1,0
10, 9,5,0,0,0,25
10, 10,360,4,0,2,4
10, 10,5,44,0,0,0
10, 10,2,1,2,0,0
10, 10,2,1,0,0,0
10, 10,1,0,0,0,29
